company,country,industry,founded_year
Nishiyama Onsen Keiunkan,Japan,Hotel,705
Koman,Japan,Hotel,717
Hōshi Ryokan,Japan,Hotel,718
Genda Shigyō,Japan,Ceremonial paper goods,771
St. Peter Stiftskulinarium,Austria,Restaurant,803
Staffelter Hof,Germany,Wine,862
Monnaie de Paris,France,Mint,864
Tanaka-Iga,Japan,Religious goods,885
The Royal Mint,United Kingdom,Mint,886
Nakamura Shaji[b],Japan,Construction,970
Château de Goulaine,France,Wine,1000
Ichimonjiya Wasuke,Japan,Confectionery,1000
Pontificia Fonderia Marinelli,Italy,Religious goods,1000
Shumiya-Shinbutsuguten,Japan,Religious goods,1024
Weltenburger,Germany,Brewery,1050
